24.54, 1015.43, 37.19, -18.10, 823.00

24.54, 1015.45, 37.11, -18.31, 823.00

24.54, 1015.44, 36.99, -18.25, 823.00

24.54, 1015.46, 36.90, -18.38, 823.00

24.54, 1015.43, 36.84, -18.14, 823.00

24.53, 1015.43, 36.83, -18.11, 807.00

24.54, 1015.44, 36.78, -18.24, 807.00

24.54, 1015.45, 36.71, -18.32, 807.00

24.53, 1015.42, 36.61, -18.03, 807.00

24.52, 1015.42, 36.54, -18.08, 807.00

24.52, 1015.44, 36.52, -18.25, 791.00

24.52, 1015.41, 36.54, -17.98, 791.00

24.51, 1015.40, 36.54, -17.86, 791.00

24.52, 1015.42, 36.51, -18.06, 791.00

24.52, 1015.40, 36.49, -17.91, 791.00

24.52, 1015.42, 36.50, -18.05, 781.00

24.52, 1015.43, 36.52, -18.11, 781.00

24.51, 1015.42, 36.54, -18.06, 781.00

24.52, 1015.44, 36.58, -18.21, 781.00

24.52, 1015.41, 36.60, -17.98, 781.00

24.52, 1015.39, 36.60, -17.84, 779.00

24.52, 1015.43, 36.58, -18.09, 779.00

24.52, 1015.42, 36.57, -18.01, 779.00

24.52, 1015.43, 36.56, -18.10, 779.00

24.52, 1015.41, 36.54, -17.95, 779.00

24.52, 1015.41, 36.56, -17.95, 775.00

24.52, 1015.42, 36.56, -18.03, 775.00

24.51, 1015.41, 36.54, -17.99, 775.00

24.51, 1015.40, 36.54, -17.88, 775.00

24.52, 1015.41, 36.52, -17.98, 774.00

24.52, 1015.40, 36.54, -17.89, 774.00

24.52, 1015.41, 36.62, -17.97, 774.00

24.51, 1015.42, 36.67, -18.06, 774.00

24.51, 1015.39, 36.64, -17.84, 774.00

24.52, 1015.42, 36.68, -18.05, 773.00

24.52, 1015.40, 36.78, -17.93, 773.00

24.52, 1015.42, 36.85, -18.03, 773.00

24.51, 1015.40, 36.86, -17.89, 773.00

24.50, 1015.42, 36.82, -18.07, 773.00

24.50, 1015.41, 36.79, -17.94, 774.00

24.48, 1015.42, 36.64, -18.07, 774.00

24.47, 1015.43, 36.57, -18.15, 774.00

24.48, 1015.45, 36.53, -18.28, 774.00

24.47, 1015.44, 36.49, -18.22, 774.00

24.47, 1015.43, 36.42, -18.12, 774.00

24.46, 1015.39, 36.33, -17.84, 774.00

24.46, 1015.44, 36.25, -18.26, 774.00

24.45, 1015.45, 36.14, -18.26, 774.00

24.45, 1015.45, 36.15, -18.26, 774.00

24.45, 1015.44, 36.17, -18.19, 773.00

24.45, 1015.42, 36.17, -18.08, 773.00

24.44, 1015.45, 36.15, -18.34, 773.00

24.44, 1015.43, 36.19, -18.14, 773.00

24.43, 1015.47, 36.17, -18.46, 773.00

24.43, 1015.48, 36.17, -18.48, 773.00

24.43, 1015.47, 36.22, -18.45, 773.00

24.42, 1015.44, 36.22, -18.23, 773.00

24.41, 1015.45, 36.22, -18.31, 773.00

24.42, 1015.44, 36.27, -18.24, 773.00

24.42, 1015.48, 36.33, -18.52, 772.00

24.41, 1015.46, 36.34, -18.36, 772.00

24.41, 1015.46, 36.33, -18.42, 772.00

24.41, 1015.46, 36.30, -18.36, 772.00

24.41, 1015.46, 36.33, -18.40, 772.00

24.40, 1015.46, 36.33, -18.35, 772.00

24.39, 1015.43, 36.29, -18.13, 772.00

24.40, 1015.44, 36.34, -18.26, 772.00

24.40, 1015.46, 36.37, -18.37, 772.00

24.40, 1015.46, 36.34, -18.39, 772.00

24.40, 1015.46, 36.34, -18.39, 772.00

24.40, 1015.46, 36.34, -18.35, 772.00

24.39, 1015.44, 36.34, -18.23, 772.00

24.39, 1015.45, 36.34, -18.27, 772.00

24.40, 1015.50, 36.35, -18.30, 772.00

24.39, 1015.46, 36.40, -18.36, 772.00

24.39, 1015.47, 36.44, -18.51, 772.00

24.39, 1015.49, 36.44, -18.60, 772.00

24.40, 1015.48, 36.46, -18.52, 772.00

24.39, 1015.45, 36.46, -18.30, 772.00

24.39, 1015.48, 36.46, -18.52, 772.00

24.39, 1015.47, 36.46, -18.49, 772.00

24.38, 1015.45, 36.41, -18.34, 772.00

24.38, 1015.45, 36.40, -18.32, 772.00

24.37, 1015.44, 36.45, -18.23, 772.00

24.38, 1015.46, 36.51, -18.35, 771.00

24.39, 1015.46, 36.57, -18.40, 771.00

24.39, 1015.45, 36.60, -18.31, 771.00

24.39, 1015.45, 36.66, -18.31, 771.00

24.38, 1015.44, 36.70, -18.19, 771.00

24.39, 1015.44, 36.69, -18.19, 771.00

24.39, 1015.44, 36.70, -18.23, 771.00

24.39, 1015.45, 36.71, -18.32, 771.00

24.39, 1015.47, 36.72, -18.48, 771.00

24.39, 1015.44, 36.75, -18.23, 771.00

24.39, 1015.46, 36.76, -18.35, 771.00

24.39, 1015.43, 36.74, -18.16, 771.00

24.39, 1015.45, 36.71, -18.34, 771.00

24.39, 1015.46, 36.70, -18.41, 771.00

24.39, 1015.53, 36.72, -18.93, 771.00

24.38, 1015.51, 36.68, -18.84, 770.00

24.37, 1015.51, 36.63, -18.83, 770.00

24.38, 1015.45, 36.62, -18.30, 770.00

24.37, 1015.43, 36.61, -18.13, 770.00

24.37, 1015.42, 36.61, -18.34, 770.00

24.38, 1015.44, 36.65, -18.23, 769.00

24.38, 1015.45, 36.67, -18.34, 769.00

24.38, 1015.47, 36.67, -18.51, 769.00

24.38, 1015.46, 36.67, -18.37, 769.00

24.38, 1015.44, 36.68, -18.21, 769.00

24.39, 1015.46, 36.74, -18.35, 768.00

24.38, 1015.46, 36.77, -18.42, 768.00

24.39, 1015.46, 36.80, -18.38, 768.00

24.39, 1015.46, 36.82, -18.35, 768.00

24.38, 1015.44, 36.81, -18.18, 768.00

24.38, 1015.45, 36.82, -18.31, 768.00

24.39, 1015.47, 36.86, -18.45, 768.00

24.38, 1015.45, 36.85, -18.31, 768.00

24.39, 1015.44, 36.88, -18.22, 768.00

24.38, 1015.47, 36.90, -18.47, 768.00

24.40, 1015.49, 36.92, -18.63, 767.00

24.40, 1015.47, 36.95, -18.46, 767.00

24.40, 1015.47, 36.94, -18.43, 767.00

24.40, 1015.47, 36.92, -18.42, 767.00

24.40, 1015.46, 36.92, -18.37, 767.00

24.41, 1015.45, 36.94, -18.31, 767.00

24.40, 1015.44, 36.94, -18.19, 767.00

24.39, 1015.45, 36.85, -18.27, 767.00

24.40, 1015.47, 36.76, -18.50, 767.00

24.39, 1015.47, 36.67, -18.46, 767.00

24.39, 1015.47, 36.60, -18.44, 766.00

24.38, 1015.46, 36.54, -18.35, 766.00

24.38, 1015.45, 36.51, -18.33, 766.00

24.38, 1015.47, 36.54, -18.49, 766.00

24.39, 1015.50, 36.67, -18.77, 767.00

24.38, 1015.50, 36.68, -18.68, 767.00

24.38, 1015.49, 36.72, -18.65, 767.00

24.39, 1015.48, 36.77, -18.58, 767.00

24.38, 1015.49, 36.73, -18.63, 767.00

24.37, 1015.47, 36.68, -18.46, 767.00

24.38, 1015.50, 36.66, -18.73, 767.00

24.38, 1015.48, 36.67, -18.55, 767.00

24.38, 1015.47, 36.69, -18.46, 767.00

24.38, 1015.48, 36.72, -18.54, 767.00

24.38, 1015.50, 36.75, -18.75, 767.00

24.38, 1015.49, 36.77, -18.65, 767.00

24.38, 1015.48, 36.77, -18.56, 767.00

24.39, 1015.50, 36.79, -18.73, 767.00

24.38, 1015.47, 36.79, -18.51, 767.00

24.39, 1015.50, 36.79, -18.75, 768.00

24.39, 1015.49, 36.78, -18.67, 768.00

24.38, 1015.51, 36.77, -18.79, 768.00

24.38, 1015.48, 36.72, -18.51, 768.00

24.38, 1015.50, 36.72, -18.68, 768.00

24.38, 1015.50, 36.72, -18.74, 768.00

24.37, 1015.46, 36.70, -18.40, 768.00

24.37, 1015.51, 36.69, -18.79, 768.00

24.37, 1015.49, 36.69, -18.64, 768.00

24.37, 1015.49, 36.71, -18.60, 768.00

24.38, 1015.49, 36.76, -18.66, 769.00

24.36, 1015.47, 36.79, -18.51, 769.00

24.38, 1015.49, 36.81, -18.60, 769.00

24.38, 1015.47, 36.84, -18.50, 769.00

24.38, 1015.47, 36.87, -18.48, 769.00

24.38, 1015.48, 36.88, -18.40, 769.00

24.38, 1015.44, 36.91, -18.23, 769.00

24.38, 1015.46, 36.93, -18.36, 769.00

24.38, 1015.45, 36.95, -18.31, 769.00

24.39, 1015.48, 36.98, -18.53, 769.00

24.39, 1015.48, 37.01, -18.56, 769.00

24.40, 1015.50, 37.05, -18.70, 769.00

24.40, 1015.49, 37.08, -18.63, 769.00

24.40, 1015.51, 37.12, -18.77, 769.00

24.40, 1015.47, 37.17, -18.48, 769.00

24.40, 1015.45, 37.17, -18.32, 770.00

24.40, 1015.51, 37.15, -18.77, 770.00

24.40, 1015.43, 37.15, -18.15, 770.00

24.42, 1015.46, 37.18, -18.35, 770.00

24.41, 1015.46, 37.18, -18.36, 770.00

24.42, 1015.46, 37.16, -18.42, 771.00

24.43, 1015.47, 37.16, -18.49, 771.00

24.43, 1015.46, 37.17, -18.38, 771.00

24.43, 1015.46, 37.15, -18.40, 771.00

24.43, 1015.45, 37.13, -18.32, 771.00

24.45, 1015.50, 37.12, -18.68, 771.00

24.45, 1015.49, 37.14, -18.63, 771.00

24.45, 1015.51, 37.15, -18.79, 771.00

Â 

